id,match_id,player_id,player_name,equipo,tick,hora
846,327,309,Fattori,Blue,100,
847,327,2,tnt,Blue,109,
848,328,310,Modric,Blue,35,
849,328,2,tnt,Blue,43,
850,328,285,SAMIR-ESKIMAL,Blue,87,
851,329,303,norun ,Blue,72,
852,329,309,Fattori,Blue,76,
853,329,285,SAMIR-ESKIMAL,Blue,78,
864,335,312,bola de fraile,Blue,125,
865,335,312,bola de fraile,Blue,173,
866,337,2,tnt,Red,14,
867,338,311,/b0n3l,Red,20,
868,338,311,/b0n3l,Red,23,
869,338,2,tnt,Blue,36,
870,338,2,tnt,Red,75,
871,339,314,ap10,Blue,28,
872,340,313,asphyxia,Blue,6,
873,340,292,Francescoli,Red,13,
874,340,292,Francescoli,Blue,50,
875,340,292,Francescoli,Blue,54,
878,345,321,jubilado justiciero cabj,Blue,21,
879,345,319,𝐊𝐈𝐒𝐇𝐋𝐀𝐊🐐™,Blue,131,
880,345,2,tnt,Red,143,
881,346,319,𝐊𝐈𝐒𝐇𝐋𝐀𝐊🐐™,Red,41,
882,346,318,spooky,Blue,135,
883,346,318,spooky,Blue,173,
884,347,325,WAFRKAHJOF,Red,37,
885,348,329,R,Blue,48,
886,348,326,G̴ilberto ꜱilva,Blue,75,
887,348,328,𝓒𝓱𝓲𝓮𝓼𝓪 ✠ 𝐒𝐂,Blue,171,
888,349,2,tnt,Blue,76,
889,349,329,R,Blue,97,
890,349,2,tnt,Red,140,
891,349,328,𝓒𝓱𝓲𝓮𝓼𝓪 ✠ 𝐒𝐂,Blue,172,
898,355,329,R,Blue,10,
899,355,323,adam,Red,74,
900,355,323,adam,Red,104,
901,355,334,Alemania,Blue,138,
902,355,323,adam,Red,164,
903,356,323,adam,Red,42,
904,356,325,WAFRKAHJOF,Red,157,
905,356,336,colo(noprime),Red,168,
906,357,323,adam,Red,54,
907,357,338,kota,Red,90,
908,357,339,Tilo,Blue,140,
909,357,323,adam,Red,170,
910,358,334,Alemania,Red,69,
911,358,339,Tilo,Red,94,
912,358,337,licha,Red,119,
913,360,337,licha,Red,28,
914,360,339,Tilo,Blue,92,
915,360,2,tnt,Red,108,
916,360,337,licha,Red,171,
917,361,323,adam,Blue,65,
918,361,337,licha,Red,99,
919,361,325,WAFRKAHJOF,Red,142,
920,363,337,licha,Red,71,
921,363,325,WAFRKAHJOF,Red,90,
922,363,323,adam,Blue,173,
923,364,323,adam,Blue,57,
924,364,346,neymarcinho,Red,118,
925,364,336,colo(noprime),Blue,156,
926,367,346,neymarcinho,Red,213,
927,369,323,adam,Red,18,
928,369,323,adam,Red,31,
929,369,336,colo(noprime),Red,49,
930,370,323,adam,Red,22,
931,370,350,Augus,Blue,27,
932,370,349,dt con cara de culo,Red,43,
933,371,351,virgen van gay,Red,21,
934,371,336,colo(noprime),Red,41,
935,371,325,WAFRKAHJOF,Blue,51,
936,372,352,ronaldo 9,Red,3,
937,372,352,ronaldo 9,Red,11,
938,372,350,Augus,Blue,14,
939,372,288,Lamine Yamal,Red,16,
940,373,351,virgen van gay,Red,13,
941,373,349,dt con cara de culo,Blue,59,
942,373,346,neymarcinho,Red,73,
943,373,349,dt con cara de culo,Red,93,
944,374,350,Augus,Red,47,
945,374,353,pxx!,Blue,97,
946,374,353,pxx!,Blue,102,
947,374,288,Lamine Yamal,Red,131,
948,374,353,pxx!,Blue,142,
949,375,350,Augus,Red,21,
950,375,346,neymarcinho,Blue,44,
951,375,2,tnt,Blue,170,
952,376,350,Augus,Red,3,
953,376,350,Augus,Red,28,
954,376,336,colo(noprime),Blue,153,
955,376,350,Augus,Red,163,
956,378,353,pxx!,Blue,8,
957,378,346,neymarcinho,Red,48,
958,378,336,colo(noprime),Blue,85,
